Fitting Parameters
parameter,value,error
Constant,4.421856541806459,0.91604806901432
Linear,0.7461896248840253,0.9727858988542596
Quadratic,-0.1023745917775572,0.188974003322834
Gaussian 1 Amplitude,30.866020442529777,4.229247657700824
Gaussian 1 Center,2.1978167776657043,0.006047028585141731
Gaussian 1 FWHM,0.11978717671901323,0.018321003686746225
Gaussian 2 Amplitude,28.060128420360602,2.3378985938952357
Gaussian 2 Center,2.352895866020702,0.03219155625542282
Gaussian 2 FWHM,0.3832079174072257,0.05071531304191228
Gaussian 3 Amplitude,80.00846158395092,2.0944210344404817
Gaussian 3 Center,2.7524160898955814,0.006362997925566247
Gaussian 3 FWHM,0.29567153715626254,0.012417919942065215

Fitted Curves
x_data,y_data,y_error,combined_fit,background_fit,gaussian_1_fit,gaussian_2_fit,gaussian_3_fit
0.05,5.0,2.236067977,4.458910086571216,4.458910086571216,0.0,9.164190113567848e-43,2.056146786697783e-99
0.1,2.0,1.414213562,4.4954517583770865,4.4954517583770865,0.0,6.759469864759929e-41,1.001953608843176e-95
0.15,6.0,2.449489743,4.531481557224067,4.531481557224067,0.0,4.536620102198143e-39,4.166511602636763e-92
0.2,2.0,1.414213562,4.566999483112162,4.566999483112162,0.0,2.770469798042228e-37,1.4785263215295922e-88
0.25,8.0,2.828427125,4.602005536041368,4.602005536041368,1.287727e-317,1.5394856957658418e-35,4.477308386636098e-85
0.3,6.0,2.449489743,4.636499716011687,4.636499716011687,1.7599246795258387e-301,7.783933669730776e-34,1.1570082081230205e-81
0.35,6.0,2.449489743,4.670482023023117,4.670482023023117,9.153350411241615e-286,3.5811608294729234e-32,2.551451718516677e-78
0.4,4.0,2.0,4.70395245707566,4.70395245707566,1.8116817562678252e-270,1.4991661073371248e-30,4.801420609759433e-75
0.45,3.0,1.732050808,4.736911018169316,4.736911018169316,1.3645817195387842e-255,5.710536550319449e-29,7.710519384129229e-72
0.5,1.0,1.0,4.769357706304082,4.769357706304082,3.911406944988439e-241,1.9792712052033866e-27,1.0566447450509304e-68
0.55,8.0,2.828427125,4.8012925214799616,4.8012925214799616,4.266603365523595e-227,6.242160455319631e-26,1.2356795090929857e-65
0.6,2.0,1.414213562,4.832715463696954,4.832715463696954,1.7711174262883333e-213,1.791289500000901e-24,1.233145083094667e-62
0.65,7.0,2.645751311,4.863626532955058,4.863626532955058,2.797874668381093e-200,4.6773283971113336e-23,1.050156414559196e-59
0.7,5.0,2.236067977,4.894025729254274,4.894025729254274,1.6819960510403556e-187,1.111299646870152e-21,7.631770229622885e-57
0.75,10.0,3.16227766,4.923913052594602,4.923913052594602,3.848021615533209e-175,2.4025128562646777e-20,4.7329080465576273e-54
0.8,3.0,1.732050808,4.953288502976043,4.953288502976043,3.3501623187889316e-163,4.726084637110438e-19,2.5047381484917475e-51
0.85,1.0,1.0,4.9821520803985955,4.9821520803985955,1.1099668582884538e-151,8.459379337664043e-18,1.1311705170122136e-48
0.9,7.0,2.645751311,5.0105037848622604,5.0105037848622604,1.3994906114769221e-140,1.3777700377818251e-16,4.359385818213385e-46
0.95,3.0,1.732050808,5.03834361636704,5.0383436163670385,6.714996374016789e-130,2.0418141180174462e-15,1.4336859202258696e-43
1.0,1.0,1.0,5.0656715749129555,5.065671574912928,1.2261324636492155e-119,2.7533213311378845e-14,4.0235945995627e-41
1.05,3.0,1.732050808,5.092487660500267,5.09248766049993,8.520102418139468e-110,3.378304775467861e-13,9.636202017600081e-39
1.1,5.0,2.236067977,5.118791873131815,5.118791873128043,2.2530356053117825e-100,3.771742065193642e-12,1.9693778951720403e-36
1.15,3.0,1.732050808,5.144584212835586,5.144584212797269,2.2672901968614571e-91,3.831654785634034e-11,3.434659625651581e-34
1.2,6.0,2.449489743,5.169864679861794,5.169864679507607,8.68284365265128e-83,3.541864917828777e-10,5.11175269043885e-32
1.25,9.0,3.0,5.194633276238115,5.194633273259058,1.265414093888086e-74,2.979057212240158e-09,6.492133573290064e-30
1.3,5.0,2.236067977,5.218890016851205,5.2188899940516205,7.01809380826766e-67,2.279958408377172e-08,7.036173540420841e-28
1.35,4.0,2.0,5.242635000658143,5.242634841885295,1.4812265443714582e-59,1.5877284830604906e-07,6.507544120451524e-26
1.4,2.0,1.414213562,5.265868822826791,5.265867816760083,1.1897059100424185e-52,1.0060667078268914e-06,5.136049294952574e-24
1.45,3.0,1.732050808,5.288594719351208,5.288588918675982,3.63641606145439e-46,5.800675225094127e-06,3.4591765541366837e-22
1.5,7.0,2.645751311,5.31082857970715,5.310798147632994,4.229834071129172e-40,3.0432074155506215e-05,1.9881436353998747e-20
1.55,8.0,2.828427125,5.332640776926203,5.332495503631117,1.872358085297558e-34,0.00014527329508580056,9.751114790125766e-19
1.6,7.0,2.645751311,5.354312003949486,5.353680986670353,3.154062574972878e-29,0.0006310172791334036,4.081241216562445e-17
1.65,7.0,2.645751311,5.376848605350543,5.374354596750701,2.0219365157471362e-24,0.0024940085998409202,1.457678479622383e-15
1.7,8.0,2.828427125,5.403485578564693,5.394516333872161,4.9326527327365977e-20,0.00896924469248725,4.442860769735393e-14
1.75,10.0,3.16227766,5.443516665896687,5.414166198034734,4.579408467466974e-16,0.029350467860796335,1.1555670456044737e-12
1.8,7.000000031,2.645751317,5.520696941231105,5.433304189238419,1.6179088093780861e-12,0.08739275196541912,2.5648329006333626e-11
1.85,9.000002553,3.000000426,5.688705957559925,5.451930307483217,2.1752767204685182e-09,0.23677564741563542,4.857966180281929e-10
1.9,2.000194265,1.414282244,6.0537593659902456,5.470044552769126,1.1129888152854928e-06,0.5837136923802843,7.85201971416866e-09
1.95,10.00854801,3.163628931,6.797238488644003,5.487646925096147,0.00021671197168423383,1.3093747432733527,1.0830281846010907e-07
2.0,10.19358898,3.192740042,8.193367781688526,5.504737424464281,0.016057976661404055,2.6725711057993427,1.2747634987467752e-06
2.05,6.205302769,2.491044514,10.9377262859737,5.521316050873527,0.4528084855194093,4.963588945424565,1.2804156196593372e-05
2.1,22.5842351,4.752287354,18.784672807137266,5.537382804323885,4.859080642612249,8.388099610387723,0.00010974981340931017
2.15,37.07320865,6.088777271,38.29514137972096,5.5529376848153555,19.84309777201592,12.898303158496693,0.0008027643929943453
2.2,53.87409192,7.339897269,54.45750562498376,5.5679806923479385,30.837605852986048,18.04690831627391,0.005010763375863851
2.25,49.35601703,7.025383764,46.822792613142255,5.582511826921634,18.2375984688324,22.975992157758416,0.026690159629811732
2.3,31.29086529,5.593823852,36.43870295518733,5.59653108853644,4.104596417696175,26.616256139057132,0.12131930989758584
2.35,36.73892212,6.06126407,34.4878632626578,5.610038477192359,0.3515516084556219,28.055685907346863,0.47058726966295067
2.4,36.20369986,6.016951043,34.10109170980741,5.623033992889391,0.011458388217793557,26.908906211698177,1.5576931170020503
2.45,34.2592037,5.853136228,33.5197037845006,5.635517635627535,0.00014212608426772871,23.48401936251085,4.400024660277947
