X,Y,Yerr
-0.4,40.07746039,6.33067614
-0.35,64.33126395,8.020677275
-0.3,74.91759645,8.655495159
-0.25,110.6322169,10.51818506
-0.2,189.2249305,13.75590529
-0.15,292.973813,17.11647782
-0.1,415.6797794,20.38822649
-0.05,508.0503184,22.53997157
0,536.0049915,23.1517816
0.05,497.5950362,22.30683833
0.1,410.9839784,20.27273978
0.15,302.002894,17.37823046
0.2,191.9551359,13.85478747
0.25,131.1429766,11.4517674
0.3,102.2722274,10.11297322
0.35,106.6400242,10.32666569
0.4,93.07805887,9.647697076
0.45,92.70156875,9.628165388
0.5,80.14824565,8.952555258
0.55,59.39111981,7.706563424
0.6,51.9918356,7.210536429
0.65,48.04378479,6.931362405
0.7,42.81917234,6.543636018
0.75,34.88926003,5.906713133
0.8,45.03124148,6.710532131
0.85,48.01826351,6.92952116
0.9,48.72699857,6.980472661
0.95,60.09604257,7.752163735
1,62.02000004,7.875277775
1.05,70.60004141,8.402383079
1.1,56.73497325,7.53226216
1.15,59.52985171,7.715559066
1.2,35.04224783,5.919649299
1.25,33.36410801,5.776167243
1.3,27.53874779,5.247737397
1.35,42.04117884,6.483916936
1.4,28.28365562,5.318238019
1.45,29.86017874,5.464446791
1.5,36.56133736,6.046597172
1.55,25.30142097,5.030051786
1.6,32.05179848,5.66143078
1.65,27.80454142,5.273001178
1.7,37.55781202,6.128442871
1.75,41.31125136,6.427382932
1.8,32.06480013,5.662578929
1.85,31.81845001,5.640784521
1.9,32.5722,5.707205971
1.95,34.32605,5.858843743
2,32.08,5.663920903
2.05,33.83405,5.816704393
2.1,34.5882,5.881173352
2.15,39.34245,6.272356017
2.2,30.0968,5.486055049
2.25,38.85125,6.233077089
2.3,37.6058,6.132356806
2.35,31.36045,5.600040178
2.4,28.1152,5.302376826
2.45,32.87005,5.733240794
2.5,29.625,5.442885264
2.55,31.38005,5.601789893
2.6,30.1352,5.489553716
2.65,36.89045,6.0737509
2.7,30.6458,5.535864883
2.75,25.40125,5.039965278
2.8,31.1568,5.581827658
2.85,26.91245,5.18772108
2.9,34.6682,5.887970788
2.95,18.42405,4.292324545
3,29.18,5.401851534
3.05,18.93605,4.351557193
3.1,27.6922,5.262337883
3.15,30.44845,5.518011417
3.2,34.2048,5.848486984
3.25,30.96125,5.564283422
3.3,28.7178,5.358899141
3.35,28.47445,5.336145613
3.4,27.2312,5.21835223
3.45,25.98805,5.097847585
3.5,30.745,5.5448174
3.55,16.50205,4.062271532
3.6,20.2592,4.501022106
3.65,16.01645,4.002055722
3.7,26.7738,5.174340538
3.75,31.53125,5.615269361
3.8,15.2888,3.910089513
3.85,14.04645,3.747859389
3.9,18.8042,4.33638098
3.95,27.56205,5.249957143
4,19.32,4.395452195
4.05,20.07805,4.480853713
4.1,18.8362,4.340069124
4.15,20.59445,4.53811084
4.2,10.3528,3.217576728
4.25,17.11125,4.13657467
4.3,11.8698,3.44525761
4.35,24.62845,4.962705915
4.4,13.3872,3.658852279
4.45,17.14605,4.140778912
4.5,20.905,4.572198596
4.55,9.66405,3.108705518
4.6,26.4232,5.140350183
4.65,14.18245,3.765959373
4.7,11.9418,3.455690958
4.75,18.70125,4.32449419
4.8,19.4608,4.411439674
4.85,20.22045,4.496715468
4.9,11.9802,3.461242551
4.95,15.74005,3.967373186
5,0,0
